"","Bx","By","Bz"
"587",-0.34,-1.71,-2.76
"588",-0.35,-1.71,-2.75
"589",0.07,-1.89,-2.99
"590",-0.55,-1.67,-2.67
"591",3.10102695784564,-2.54303692089346,-1.13999830600347
"592",0.05,-1.79,-3.1
"593",-0.09,-1.51,-2.83
"594",0.64,-1.38,-3.22
"595",0.39,-1.82,-3.11
"596",0,-1.6,-2.83
"597",-0.500358658194017,-1.78418752194386,-2.6806149479187
"598",0.35,-1.72,-3.08
"599",-0.05,-1.74,-2.88
"600",0.388154441869682,-1.13700279971013,-3.25632424598024
"601",0.12,-1.77,-3.05
"602",-0.04,-1.87,-3.03
"603",3.8283751224763,-1.50860096018206,0.681723621977593
"604",0,-1.78,-3.04
"605",-0.02,-1.77,-3.04
"606",2.76449449584118,-2.12733754453961,-1.78547780155011
"607",1.74,-2.21,-1.8
"608",0.21,-1.76,-3.04
"609",0.69,-1.45,-3.18
"610",0.47,-1.67,-3.08
"611",0.15,-1.85,-2.92
"612",4.94299216726561,0.488254785894965,0.293415913165792
"613",0.4,-1.86,-2.91
"614",0.16,-1.85,-2.96
"615",4.81253123304143,-1.30657766336898,-0.701742290295906
"616",0.22,-1.98,-2.87
"617",0.32,-1.77,-2.85
"618",0.32,-1.77,-2.85
"619",-0.16,-2.15,-2.79
"620",4.57345429477741,-1.85827972845622,-0.90484714569585
"621",-0.19,-1.76,-2.93
"622",-0.32,-1.7,-2.95
"623",-0.58,-1.88,-2.79
"624",0.32,-1.7,-3.04
"625",-0.12,-1.52,-3.03
"626",0.398713142082463,-1.63234030894304,-3.05444199912497
"627",-0.37,-1.77,-2.95
"628",0.32,-1.84,-2.96
"629",3.77456327679155,0.0888307964871659,2.06675632944432
"630",2.02,-0.55,0.46
"631",3.12,-0.76,0.66
"632",2.61,-0.29,1
"633",3.81,0.41,2.94
"634",1.69,-0.71,0.05
"635",2.7,-0.29,1.04
"636",3.97,0.31,2.89
"637",3.97,0.3,2.9
"638",0.207090441627116,-1.61931885950795,-3.07522223434067
"639",0.34,-1.29,-3.19
"640",4,0.22,2.87
"641",4,0.22,2.87
"642",5.29202890906108,-0.150960686852913,-0.198627094912402
"643",5.09990918359366,-0.234291607877895,-0.155958254796694
"644",3.81877763771326,-2.35406116544265,-1.46300397477724
"645",3.77,0.49,3.08
"646",4.01,0.2,2.87
"647",3.83299457525259,-1.73194189213468,0.840572804346636
"648",-0.0063408811544949,-1.59825430993501,-3.04208839301365
"649",2.12,-2.68,-1.54
"650",2.24,-2.67,-1.59
"651",4.19988035420025,-0.881099898983063,0.935223163732434
"652",2.69,-1.29,-1.99
"653",4.72709447287157,-1.72545253753514,-0.625115343422023
"654",2.06,-1.44,-2.04
"655",4.06,0.15,2.85
"656",0.04390741126173,-1.49790171171546,-3.07895981531241
"657",2.56,-1.86,-1.53
"658",4.67892063103943,-1.8541579348581,-0.795354452819089
"659",4.66050238603692,-1.68134522193598,-0.828851935550945
"660",3.95,-1.65,0.76
"661",3.26,-0.95,0.73
"662",3.47,0.3,2.14
"663",3.75,0.03,2.08
"664",3.77,0.45,3.01
"665",3.48,0.67,3.05
"666",3.68,-0.5,1.7
"667",3.59,-0.03,2.09
"668",3.4,-0.88,0.74
"669",3.67,0.64,2.96
"670",3.93,0.16,2.73
"671",3.91,0.16,2.74
"672",3.45,0.43,2.85
"673",3.67,0.27,2.77
"674",3.48,0.26,2.79
"675",3.42,-0.96,0.31
"676",3.01,-1.83,-1.12
"677",3.13,-1.25,-0.01
"678",3.28,-1.32,0.04
"679",3.73,-1.61,0.58
